well_API14,operator,ENVBasin,Formation,prob_exceeds_breakeven,expected_profit_USD,pred_central_p50,band_low_calibrated,band_high_calibrated,actual_boe,is_labelled,rank_by_probability,recommended_top10pct
42497370070000,Devon Energy Production Company L. P.,FORT WORTH,BARNETT LOWER,0.038,-345521.0,1362.0,-292.0,17322.0,1320.0,True,6897,False
42501307460000,Occidental Oil and Gas,PERMIAN OTHER,SAN ANDRES,0.038,-337027.0,1574.0,-662.0,7264.0,4583.0,True,6898,False
42501320130000,Occidental Oil and Gas,PERMIAN OTHER,SAN ANDRES,0.038,-390352.0,241.0,-1702.0,7489.0,-125.0,True,6899,False
42501324230000,Occidental Oil and Gas,PERMIAN OTHER,SANAND,0.038,-420177.0,-504.0,-3232.0,6444.0,-601.0,True,6900,False
42501349550000,XTO Energy/ExxonMobil,PERMIAN OTHER,FL GAS CAP,0.038,-405627.0,-141.0,-2114.0,8112.0,-2054.0,True,6901,False
42501360960000,Occidental Oil and Gas,PERMIAN OTHER,TUBB,0.038,-414007.0,-350.0,-3082.0,9286.0,-1461.0,True,6902,False
43013518350000,Berry Petroleum,UINTA,GREEN RIVER,0.038,-326619.0,1835.0,-453.0,20215.0,,False,6903,False
49017209320000,Marathon Oil,BIGHORN,CURTIS,0.038,-361545.0,961.0,-518.0,8434.0,854.0,True,6904,False
49023214470000,Hilcorp Energy Company,GREATER GREEN RIVER,FRONTIER-DAKOTA,0.038,-398624.0,34.0,-1222.0,2697.0,-45.0,True,6905,False
49025205920000,Anadarko Petroleum Corporation,POWDER RIVER,WALL CREEK-2,0.038,-308723.0,2282.0,-1685.0,5055.0,4226.0,True,6906,False
49037281500000,Anadarko Petroleum Corporation,GREATER GREEN RIVER,ALMOND,0.038,-340170.0,1496.0,173.0,5862.0,1979.0,True,6907,False
49037285970000,Anadarko Petroleum Corporation,GREATER GREEN RIVER,LEWIS-MESAVERDE | LEWIS,0.038,-322120.0,1947.0,-537.0,6537.0,,False,6908,False
5123245690000,K.P. Kauffman Company,DENVER-JULESBURG,NIOBRARA-CODELL,0.037,-350054.0,1249.0,-269.0,10114.0,878.0,True,6909,False
